major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition,normalization_reference,matched_control_reference_raw_auc
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,5,,DREADD__r5__sNA,DREADD_rep5,54,15.0,280.0,0.8190205819730305,DREADD,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,6,,DREADD__r6__sNA,DREADD_rep6,54,20.0,285.0,0.9921930447125621,DREADD,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,7,,DREADD__r7__sNA,DREADD_rep7,57,15.0,295.0,0.6557842441447835,DREADD,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,8,,DREADD__r8__sNA,DREADD_rep8,50,10.0,255.0,0.8062455642299503,DREADD,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,9,,DREADD__r9__sNA,DREADD_rep9,59,10.0,300.0,1.0475514549325764,DREADD,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,1,371.1,CONTROL__r1__s371.1,371.1,67,10.0,340.0,0.9439318665720369,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,2,371.2,CONTROL__r2__s371.2,371.2,55,10.0,280.0,0.8176011355571328,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,3,371.3,CONTROL__r3__s371.3,371.3,62,15.0,320.0,1.8907026259758695,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,4,371.4,CONTROL__r4__s371.4,371.4,70,10.0,355.0,1.5017743080198722,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,5,371.5,CONTROL__r5__s371.5,371.5,85,10.0,430.0,0.9709013484740951,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,6,371.6,CONTROL__r6__s371.6,371.6,107,10.0,540.0,1.6692689850958127,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,7,371.7,CONTROL__r7__s371.7,371.7,81,10.0,410.0,1.6011355571327182,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,8,371.8,CONTROL__r8__s371.8,371.8,39,10.0,200.0,0.7934705464868701,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,9,371.9,CONTROL__r9__s371.9,371.9,61,10.0,310.0,1.4350603264726756,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,10,371.1,CONTROL__r10__s371.1,371.1,46,10.0,235.0,0.9453513129879347,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,11,371.11,CONTROL__r11__s371.11,371.11,58,10.0,295.0,0.6160397444996452,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,12,371.12,CONTROL__r12__s371.12,371.12,47,15.0,245.0,1.0290986515259049,EYFP,Vehicle,none,False,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,1,353.1,LMO7__r1__s353.1,LMO7_rep1,27,10.0,140.0,0.8672817601135557,LMO7,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,2,353.4,LMO7__r2__s353.4,LMO7_rep2,49,15.0,255.0,1.226401703335699,LMO7,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,3,353.5,LMO7__r3__s353.5,LMO7_rep3,35,10.0,180.0,1.1611071682044003,LMO7,Vehicle,none,True,matched_control_median,1761.25
