major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition,normalization_reference,matched_control_reference_raw_auc
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,1,,CNO__r1__sNA,NoActuator_rep1,61,5.0,305.0,0.5058912960851387,NoActuator,Stimulated,CNO,False,matched_media_only_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,2,,CNO__r2__sNA,NoActuator_rep2,16,5.0,80.0,0.30729760547320406,NoActuator,Stimulated,CNO,False,matched_media_only_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,3,,CNO__r3__sNA,NoActuator_rep3,39,5.0,195.0,1.0839034587609273,NoActuator,Stimulated,CNO,False,matched_media_only_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,4,,CNO__r4__sNA,NoActuator_rep4,30,5.0,150.0,0.5612884834663625,NoActuator,Stimulated,CNO,False,matched_media_only_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,5,,CNO__r5__sNA,NoActuator_rep5,36,5.0,180.0,0.9208475864690231,NoActuator,Stimulated,CNO,False,matched_media_only_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,6,,CNO__r6__sNA,NoActuator_rep6,70,5.0,350.0,0.8978525275560623,NoActuator,Stimulated,CNO,False,matched_media_only_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,7,,CNO__r7__sNA,NoActuator_rep7,30,5.0,150.0,0.3919612314709236,NoActuator,Stimulated,CNO,False,matched_media_only_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,8,,CNO__r8__sNA,NoActuator_rep8,49,5.0,245.0,0.9229380463702014,NoActuator,Stimulated,CNO,False,matched_media_only_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,9,,CNO__r9__sNA,NoActuator_rep9,33,5.0,165.0,0.201729380463702,NoActuator,Stimulated,CNO,False,matched_media_only_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,10,,CNO__r10__sNA,NoActuator_rep10,49,5.0,245.0,0.5424743443557583,NoActuator,Stimulated,CNO,False,matched_media_only_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,11,,CNO__r11__sNA,NoActuator_rep11,54,5.0,270.0,0.8131889015583428,NoActuator,Stimulated,CNO,False,matched_media_only_mean,2391.818181818182
