sensitivity_rank,n_removed,removed_cell_ids,removed_conditions,control_condition,treatment_condition,n_control,n_treatment,mean_auc_control,mean_auc_treatment,mean_difference_treatment_minus_control,dunnett_statistic,dunnett_pvalue_adjusted,ci_low_difference,ci_high_difference,significant_dunnett_adjusted_alpha
171,8,CONTROL/MEDIA__r6__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r10__sNA | CONTROL/MEDIA__r11__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,7,12,1224.642857142857,1506.25,281.6071428571429,1.7209274883428434,0.21270092023306586,-119.05689396761767,682.2711796819035,False
171,8,CONTROL/MEDIA__r6__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r10__sNA | CONTROL/MEDIA__r11__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,7,8,1224.642857142857,1328.125,103.48214285714289,0.5811254025244682,0.8778899904608042,-332.5262216272075,539.4905073414933,False
171,8,CONTROL/MEDIA__r6__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r10__sNA | CONTROL/MEDIA__r11__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,7,9,1224.642857142857,1023.0555555555555,-201.58730158730157,-1.1625978557993653,0.5009471805760655,-626.1412864566581,222.966683282055,False
172,7,CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r1__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r8__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,9,12,1253.3333333333333,1506.25,252.91666666666674,1.6543053903250078,0.24859479932972361,-123.51178292314529,629.3451162564788,False
172,7,CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r1__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r8__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,9,8,1253.3333333333333,1371.5625,118.22916666666674,0.7017823172112139,0.823475743873013,-296.57478188097673,533.0331152143102,False
172,7,CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r1__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r8__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,9,8,1253.3333333333333,1006.875,-246.45833333333326,-1.4629224339398506,0.3395719966890782,-661.2622818809767,168.34561521431021,False
173,8,DREADD/CNO__r3__sNA | DREADD/CNO__r8__sNA | DREADD/CNO__r10__sNA | DREADD/CNO__r11__sNA | CONTROL/MEDIA__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,10,8,1338.0,1570.625,232.625,1.3846071423357942,0.39016453446260746,-182.75228036990745,648.0022803699075,False
173,8,DREADD/CNO__r3__sNA | DREADD/CNO__r8__sNA | DREADD/CNO__r10__sNA | DREADD/CNO__r11__sNA | CONTROL/MEDIA__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,10,9,1338.0,1357.2222222222222,19.22222222222217,0.11811620594708201,0.998861795099945,-383.13057523893065,421.575019683375,False
173,8,DREADD/CNO__r3__sNA | DREADD/CNO__r8__sNA | DREADD/CNO__r10__sNA | DREADD/CNO__r11__sNA | CONTROL/MEDIA__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,10,9,1338.0,1023.0555555555555,-314.94444444444446,-1.935262345416213,0.15310060308873852,-717.2972419055973,87.40835301670836,False
174,4,DREADD/CNO__r11__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,11,11,1299.7727272727273,1515.909090909091,216.13636363636374,1.417410859234653,0.3696318832459832,-159.06023158722923,591.3329588599568,False
